date,product_id,product_name,category,quantity_sold,unit,unit_price,revenue,day_of_week,is_weekend,is_payday_period,festival,weekly_multiplier,payday_multiplier,festival_multiplier,monsoon_multiplier
2025-01-01,PLT001,Whole Chicken,poultry,55,kg,12.5,687.5,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,PLT002,Chicken Breast,poultry,33,kg,18.0,594.0,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,PLT003,Chicken Wings,poultry,32,kg,15.5,496.0,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,PLT004,Chicken Drumstick,poultry,49,kg,14.0,686.0,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,PLT005,Duck,poultry,9,kg,28.0,252.0,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,PRD001,Kangkung,produce,18,kg,4.5,81.0,Wednesday,False,True,,0.88,1.3,1.0,0.85
2025-01-01,PRD002,Pak Choy,produce,24,kg,5.0,120.0,Wednesday,False,True,,0.88,1.3,1.0,0.85
2025-01-01,PRD003,Tomatoes,produce,28,kg,6.5,182.0,Wednesday,False,True,,0.88,1.3,1.0,0.85
2025-01-01,PRD004,Carrots,produce,13,kg,5.5,71.5,Wednesday,False,True,,0.88,1.3,1.0,0.85
2025-01-01,PRD005,Spring Onions,produce,13,kg,8.0,104.0,Wednesday,False,True,,0.88,1.3,1.0,0.85
2025-01-01,PRD006,Chili Padi,produce,7,kg,25.0,175.0,Wednesday,False,True,,0.88,1.3,1.0,0.85
2025-01-01,PRD007,Ginger,produce,9,kg,12.0,108.0,Wednesday,False,True,,0.88,1.3,1.0,0.85
2025-01-01,PRD008,Garlic,produce,12,kg,15.0,180.0,Wednesday,False,True,,0.88,1.3,1.0,0.85
2025-01-01,DRY001,Fresh Milk 1L,dairy,35,units,7.5,262.5,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,DRY002,Eggs (30 pack),dairy,52,packs,15.0,780.0,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,DRY003,Butter 250g,dairy,16,units,12.0,192.0,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,DRY004,Yogurt,dairy,19,units,5.5,104.5,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-01,DRY005,Cheese Slices,dairy,15,packs,9.0,135.0,Wednesday,False,True,,0.88,1.3,1.0,1.0
2025-01-02,PLT001,Whole Chicken,poultry,46,kg,12.5,575.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,PLT002,Chicken Breast,poultry,27,kg,18.0,486.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,PLT003,Chicken Wings,poultry,38,kg,15.5,589.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,PLT004,Chicken Drumstick,poultry,40,kg,14.0,560.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,PLT005,Duck,poultry,10,kg,28.0,280.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,PRD001,Kangkung,produce,13,kg,4.5,58.5,Thursday,False,True,,0.95,1.25,1.0,0.85
2025-01-02,PRD002,Pak Choy,produce,16,kg,5.0,80.0,Thursday,False,True,,0.95,1.25,1.0,0.85
2025-01-02,PRD003,Tomatoes,produce,26,kg,6.5,169.0,Thursday,False,True,,0.95,1.25,1.0,0.85
2025-01-02,PRD004,Carrots,produce,12,kg,5.5,66.0,Thursday,False,True,,0.95,1.25,1.0,0.85
2025-01-02,PRD005,Spring Onions,produce,13,kg,8.0,104.0,Thursday,False,True,,0.95,1.25,1.0,0.85
2025-01-02,PRD006,Chili Padi,produce,7,kg,25.0,175.0,Thursday,False,True,,0.95,1.25,1.0,0.85
2025-01-02,PRD007,Ginger,produce,10,kg,12.0,120.0,Thursday,False,True,,0.95,1.25,1.0,0.85
2025-01-02,PRD008,Garlic,produce,11,kg,15.0,165.0,Thursday,False,True,,0.95,1.25,1.0,0.85
2025-01-02,DRY001,Fresh Milk 1L,dairy,58,units,7.5,435.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,DRY002,Eggs (30 pack),dairy,65,packs,15.0,975.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,DRY003,Butter 250g,dairy,15,units,12.0,180.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,DRY004,Yogurt,dairy,27,units,5.5,148.5,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-02,DRY005,Cheese Slices,dairy,11,packs,9.0,99.0,Thursday,False,True,,0.95,1.25,1.0,1.0
2025-01-03,PLT001,Whole Chicken,poultry,64,kg,12.5,800.0,Friday,False,True,,1.15,1.2,1.0,1.0
2025-01-03,PLT002,Chicken Breast,poultry,27,kg,18.0,486.0,Friday,False,True,,1.15,1.2,1.0,1.0
2025-01-03,PLT003,Chicken Wings,poultry,25,kg,15.5,387.5,Friday,False,True,,1.15,1.2,1.0,1.0
2025-01-03,PLT004,Chicken Drumstick,poultry,50,kg,14.0,700.0,Friday,False,True,,1.15,1.2,1.0,1.0
2025-01-03,PLT005,Duck,poultry,13,kg,28.0,364.0,Friday,False,True,,1.15,1.2,1.0,1.0
2025-01-03,PRD001,Kangkung,produce,24,kg,4.5,108.0,Friday,False,True,,1.15,1.2,1.0,0.85
2025-01-03,PRD002,Pak Choy,produce,21,kg,5.0,105.0,Friday,False,True,,1.15,1.2,1.0,0.85
2025-01-03,PRD003,Tomatoes,produce,28,kg,6.5,182.0,Friday,False,True,,1.15,1.2,1.0,0.85
2025-01-03,PRD004,Carrots,produce,13,kg,5.5,71.5,Friday,False,True,,1.15,1.2,1.0,0.85
2025-01-03,PRD005,Spring Onions,produce,12,kg,8.0,96.0,Friday,False,True,,1.15,1.2,1.0,0.85
2025-01-03,PRD006,Chili Padi,produce,8,kg,25.0,200.0,Friday,False,True,,1.15,1.2,1.0,0.85
